,CLIENT_ID,RETRO_DT,tokens,DEF,urls_hashed
80203,219056201,20210828,,0,d8877075c359034c6cb8b9ce2b1748a3 11 8cf0c68a7b804b4a3859b9f27e28f1c2 17 aee71c8d18d6b91b36bf599208a91777 44 c5d802e6e9482aeb70cfdb8c43a55f57 13 1192d043fa15f11a5f0412c8b978a4c2 11 83802fb86602a0fcc40436c0c50d0824 3 9114ae77e77ebec660859b43116f5a2f 13 3c9735adfff393e630827fb013f5a993 12 43ce2d9f00b72c7843a281e2e2b869f7 5 c559cff1e7d1df756cb212a22311ea3b 20
80318,1766487,20210816,товар 1 товары 1 каталоге 1 метры 2 купить 1 товаров 2 ткани 2 разделе 1,1,
80440,1021850811,20220223,одноклассники 10 чата 1,1,
80878,5787189,20200801,игры 3 предметов 1,0,
81149,1013967831,20210925,елизавета 1 авдеева 1 whatsapp 1 love 1 участники 1 бисексуалов 1 telegram 1 cuckold 1 задание 1 tranny 2 skype 1 spb 1 принцесса 1 регистрации 1 запись 1 геев 1 bbc 1 группа 1 maid 1 писсинг 1 black 1 одинокие 1 smolensk 1 юля 1 shemale 2 рогоносец 1 межрасовые 1 ночь 1 big 1 знакомства 2 дождь 1 мамки 1 мессенджер 1 hardcore 1 богатые 1 арт 1 white 1 сообщества 1 подтверждение 1 золотой 1 одну 1 зрелые 1 interracial 1 спб 2 viber 1 рязани 1 девочки 1 cock 1,0,
81475,1010521261,20210704,регистрация 1,0,
81485,5270824,20200305,,0,
82187,5697077,20200629,,0,
82236,4967147,20200102,,1,
82502,6206089,20201207,,0,5d707a20067821ee07e3097404b9f117 2
82632,5435493,20200410,сообщества 3 авы 1 авария 2 топовые 1 ишимбай 2 город 2 надежды 3,1,
82729,6193143,20201211,,0,8746a235bc347559f63159c3bcd38b30 2
82908,1369537,20210517,,0,1a949a82f9f6be9096b327557b848d16 2
83218,5947196,20200925,,0,98ce1163bab75de64e15a94d360b4157 3
83266,5447339,20200413,,0,
84303,5199049,20200218,base 1 видеозаписи 1,1,
84424,218243621,20210808,дикие 1 сообщества 1 атака 1 макаров 1 прелесть 1 подслушано 1 записи 1 сергей 1 мессенджер 6 титанов 1 отдам 1,1,
85001,4999783,20200108,,1,c9f124b819b7a2dbef3f0bcbf0330b9b 1
85464,227200701,20220211,операционная 2 сдам 2 новая 4 доброго 2 развели 2 медицина 2 страшное 2 завод 2 оказывается 2 человека 2 подслушано 14 сообществах 2 новости 14 подскажите 2 пос 2 стерлитамак 2 капитал 2 доставить 4 материнский 2 адресу 2 право 6 сообщества 2 участники 2 квартиру 4 треки 2 главная 2 произошло 2 чернова 2 одновременно 2 район 14 вчера 2 екатерина 4 практика 2 визажа 2 дорога 2 наращивание 2 мужем 2 автомобильной 2 подать 2 номеру 2 живут 2 ресниц 2 профессиональные 2 уведомления 8 уроки 2 здравствуйте 6 дтп 2 макияж 2 избушка 2 звонит 2 покраска 2 мессенджер 2 запись 4 ппо 2 свадебный 2 суток 2 обучение 2 куплю 2 казахстане 2 декрете 6 звёзды 2 курсы 2 ангарский 8 нужна 2 нянька 2 дневной 2 алюминиевый 2 сдается 2 рассылки 4 дача 2 коллеги 2 вечерний 2 жизни 2,0,
86274,219390071,20210905,настройки 2 apple 2 кудрово 1 беседы 2 разделы 1 ремонт 1 техники 1 сообщества 1,0,
86699,5284772,20200308,,0,
87391,5466266,20200418,,0,870e4d9fb9c2fb233cc6b6e9328ec6a6 2
87740,814674521,20211217,,0,c559cff1e7d1df756cb212a22311ea3b 1 aee71c8d18d6b91b36bf599208a91777 1 c5d802e6e9482aeb70cfdb8c43a55f57 1
87834,5273692,20200306,,0,
88870,5977573,20201005,,0,6a51ea8dc492c5b27149dd1ed2e537e1 1
89556,1445549,20210601,,0,4c3d1196cfea0ec9a529e0d41da44d93 5
89894,1011471591,20210725,,0,c559cff1e7d1df756cb212a22311ea3b 2
90255,1010004961,20210624,,1,98dea8496e77545c4b0e4ba0fac31a82 1 aee71c8d18d6b91b36bf599208a91777 1 c559cff1e7d1df756cb212a22311ea3b 1
91199,5056436,20200119,,0,
92748,222341401,20211112,магазин 2,0,
93340,5456778,20200416,,0,670095376b30028ec00423b00696bf49 2 0028c3b68113a97ccf75351d44d647cd 2
93795,5283464,20200308,,0,0028c3b68113a97ccf75351d44d647cd 1
93835,5338606,20200321,,0,
94187,1344383,20210502,,0,6d3058d3edc3efd84d18b8aae74628c3 1
94462,5687896,20200625,гости 1 добро 1 вероника 1 пожаловать 1 оказывается 1 заходил 1 местный 1 житель 1 харди 1 ревность 1,0,
95267,5065844,20200121,,1,0028c3b68113a97ccf75351d44d647cd 2
95507,5219473,20200223,,1,c9f124b819b7a2dbef3f0bcbf0330b9b 3
95534,5369847,20200328,,0,
95702,5374362,20200329,,0,0028c3b68113a97ccf75351d44d647cd 13
96246,5340148,20200322,,0,f61069ad52f4ef47e98ede00cb2bc72c 1
96283,1865834,20210913,,0,
97116,1010716591,20210708,новая 1 запись 1 рбк 1,0,
97118,5954913,20200927,,0,
97634,1889208,20210918,,0,8cf0c68a7b804b4a3859b9f27e28f1c2 6 43ce2d9f00b72c7843a281e2e2b869f7 1 aee71c8d18d6b91b36bf599208a91777 6 c559cff1e7d1df756cb212a22311ea3b 6
97640,1589351,20210703,,0,aee71c8d18d6b91b36bf599208a91777 1
98285,5683554,20200624,,0,1b2d5730f37e0c776859c002c5be9c47 1 77d574e0758f9f2e9fd3744fda1da1c3 1 ae964ea7904692e8264a2232061121a3 1
98512,5525157,20200503,,0,
98575,5385141,20200331,,0,
98687,1011861061,20210804,милого 1 виноградов 1 макса 1 общения 1 сообщества 1 семейный 1 артём 1 знакомства 1 ищу 1 трудовому 1 парня 1 маркина 1 юрист 1 веселого 1 нижний 1 праву 1 новгород 1 доброго 1,0,
98803,4970731,20200103,,0,
100014,5390720,20200402,,0,
100316,1439161,20210531,игры 1 мессенджер 1 целуй 1 знакомься 1,1,
100590,5165069,20200210,,0,
100833,5024615,20200113,,1,
101024,5338928,20200321,,1,1889e0cbd3e343e9521a07aa312257ac 1 e63fa95ddf58ce37f1fd69f59cb6a285 1
101396,5366618,20200327,,0,c726f14ffd2dd027bd6b152e0342a357 3 ae964ea7904692e8264a2232061121a3 2 2fe829b0852bba0038606a6b6ff3b1b9 2
101651,220505752,20211001,,0,f96fed99efc94bbeb6389342046f59f7 1 0729a1cede77008e86112e0d1b4056b9 1
101707,222074382,20211106,магазин 1 доставки 1 оплаты 1 условия 1,0,
102338,1013068802,20210904,,0,d8877075c359034c6cb8b9ce2b1748a3 3 aee71c8d18d6b91b36bf599208a91777 4 1192d043fa15f11a5f0412c8b978a4c2 4 83802fb86602a0fcc40436c0c50d0824 2 9114ae77e77ebec660859b43116f5a2f 4 3c9735adfff393e630827fb013f5a993 4 43ce2d9f00b72c7843a281e2e2b869f7 2 c559cff1e7d1df756cb212a22311ea3b 3
102676,5171696,20200211,,0,
102938,1776717,20210819,,0,cd7c1f19c20547a62168c58bf6bcd23f 1
102992,817602982,20220213,,0,1192d043fa15f11a5f0412c8b978a4c2 1 805974c1c36d82ead60f4ae0f59cfd78 1 43ce2d9f00b72c7843a281e2e2b869f7 1 aee71c8d18d6b91b36bf599208a91777 1 b98a0685f1aa5c4018c920cb02464323 1
103693,5276452,20200306,,0,1889e0cbd3e343e9521a07aa312257ac 3
103783,5091890,20200127,,0,
104082,6065828,20201101,музыку 2 подписка 2,0,
104153,5366632,20200327,ошибка 1,0,
106031,5711567,20200704,добро 1 сообщества 1 ошибка 1 пожаловать 1 sex 1 тимур 1 сообщения 1,0,
106133,1402293,20210523,,1,c9f124b819b7a2dbef3f0bcbf0330b9b 1 a28c682c92bd3dfdb663a789505b9949 1
107726,220001881,20210920,,0,d8877075c359034c6cb8b9ce2b1748a3 3 aee71c8d18d6b91b36bf599208a91777 4 1192d043fa15f11a5f0412c8b978a4c2 3 7509a127f30f9317b22923f838658855 1 9114ae77e77ebec660859b43116f5a2f 3 3c9735adfff393e630827fb013f5a993 3 43ce2d9f00b72c7843a281e2e2b869f7 1 217568280af6792482af03d05611c4e9 1 c559cff1e7d1df756cb212a22311ea3b 3
107922,4998630,20200108,,1,
108518,5481639,20200422,,1,
108533,1876277,20210915,одноклассники 3,0,
108818,5139407,20200205,хиты 2 ретро 2 музыка 2 видеозаписи 2 годов 2,0,
108899,815787691,20220110,,1,88ba7efdf1892f114177a6b7aef0baa9 1 aee71c8d18d6b91b36bf599208a91777 3 c5d802e6e9482aeb70cfdb8c43a55f57 3 9114ae77e77ebec660859b43116f5a2f 3 b1743c872549374e00f52d07057e5f51 2 c559cff1e7d1df756cb212a22311ea3b 3
109196,5095283,20200127,,1,5d707a20067821ee07e3097404b9f117 1
109280,5117972,20200131,,0,
109418,5641704,20200608,скважина 1 добро 1 никита 1 кухня 1 заработок 1 сетях 1 чёрный 1 пожаловать 1 социальных 1 digital 1 фитнес 1 дембель 1,0,
109453,1365769,20210515,pack 1 инфекционные 1 болезни 1 mega 1 заболевания 1,0,
109713,220247831,20210926,,0,1192d043fa15f11a5f0412c8b978a4c2 1 aee71c8d18d6b91b36bf599208a91777 1 cbcfbacaf707063ba4d6bac190e54f7f 1 c559cff1e7d1df756cb212a22311ea3b 1
109716,1618948,20210715,сбора 1 заявок 1 форма 1,1,
109836,1388085,20210520,секс 1 healthy 1 русский 1 brazzers 1 cavalli 1 porno 1 видеозаписи 1 видео 1 домашнее 1 порно 1,0,
109890,5587323,20200521,,0,5645eade46753bcb1d26544a12aeaeff 1 ae964ea7904692e8264a2232061121a3 1
110108,1574312,20210630,славы 1 монумент 2 альбомы 2 французская 2 мессенджер 2 гимназия 2,1,
110214,1188988,20210325,,0,4f661e3c2af0d88d365839772e733608 1
110253,1019086181,20220108,анонимные 1 друзьям 1 спроси 1 вопросы 1,1,
111144,1748208,20210812,лайк 1 дату 1 ребёнка 1 уфы 1 мамочки 2 нужны 1 едем 1 мессенджер 1 появились 1 города 2 пятна 1 привет 1 выложить 1 узи 1 поставят 1 женщина 1 подобии 1 запись 1 беременный 1 давали 1 будущие 1 узнать 1 ходить 1 дома 1 дневный 1 слышала 1 снимал 1 добрый 2 беременность 1 учёт 1 попросили 1 анонимно 2 выбрать 1 днях 1 района 2 здравствуйте 2 обнаружили 1 скажите 1 знаю 1 девочки 2 такого 1 тур 1 туры 1 казань 1 ирина 1 неделе 1 заказывал 1 автобусные 1 белебей 2 вечер 1 анон 1 ефимова 1 мебель 1 белебее 2 стоит 1,0,
111284,89826831,20210823,коробки 1 дарья 1 nikita 1 продам 1 куплю 1 новомосковске 1 рекомендации 1 закрытые 1,0,
111548,5201149,20200219,,0,
111622,1678872,20210725,,0,7cff352b6d48384670198a1e4be7dba7 1 c5d802e6e9482aeb70cfdb8c43a55f57 1 aee71c8d18d6b91b36bf599208a91777 1 c559cff1e7d1df756cb212a22311ea3b 1
112479,1501853,20210621,,0,b58d1eb5070747f7e7bf3733b97389bc 1 aee71c8d18d6b91b36bf599208a91777 6 d1a77da1f962012f82103e88d98f6f60 1 34da209df2e77963112233239e110fdc 3 43ce2d9f00b72c7843a281e2e2b869f7 4 c559cff1e7d1df756cb212a22311ea3b 1
113051,6175099,20201130,,1,adeac5e833a16da924d871acd3bc534c 1
113181,818134821,20220222,фотографий 1 конкурс 1 открыто 1 голосование 1 приз 1 ооо 1,0,
113232,5445815,20200413,,0,29592498d18e0d75ac590d591c3bd17f 3
113315,5472420,20200420,,1,0028c3b68113a97ccf75351d44d647cd 1 01d93a2ad6782b125ce2b3f5bea66ea0 1 b841480f0e39076e31816d9b7b926f4a 1
113460,4976016,20200104,,0,
113468,1798629,20210824,меню 1 аксессуары 1,1,
113606,5511966,20200430,,0,
113657,5947573,20200925,олег 1 сообщения 1 каримов 1 новости 1 ступени 1,0,
113878,1742181,20210810,,0,8cf0c68a7b804b4a3859b9f27e28f1c2 3 43ce2d9f00b72c7843a281e2e2b869f7 3 aee71c8d18d6b91b36bf599208a91777 12 c5d802e6e9482aeb70cfdb8c43a55f57 2
114139,1509766,20210616,,0,43ce2d9f00b72c7843a281e2e2b869f7 2 34da209df2e77963112233239e110fdc 3 aee71c8d18d6b91b36bf599208a91777 3
114311,1021557041,20220219,,1,aee71c8d18d6b91b36bf599208a91777 1 b1743c872549374e00f52d07057e5f51 1 c559cff1e7d1df756cb212a22311ea3b 1
114800,1670331,20210723,,1,938bf1091811d292f3fa46ab379110c6 2
114832,6077961,20201104,,0,a2834b9a5d8db3e7c407e496e1a6fca1 3
115545,1615624,20210709,мобильная 3 анастасия 1 влюбляйся 15 розова 1 аватария 16 мир 14 играй 15 новости 3 сбываются 14 версия 3 флиртуй 15 мечты 14,1,
115655,5509855,20200429,,0,8863c7dcf48ab614ed1d56861a5b107d 1 65c4ca974d27e5888fa445e88220ae68 1 af2ba6b59ac3c0da58a51c8821eff2e8 1 648d467b65ebffaf4305ca40e0e1447e 1 7ae14a8133bc27733552ef1dbecf6d42 1
116293,5400808,20200403,,0,
116945,222297711,20211111,,0,938bf1091811d292f3fa46ab379110c6 1
117008,5197341,20200218,,0,
117127,5206824,20200220,teen 1 сочные 1 amateur 1 porn 1 milf 1 пышки 1 видеозаписи 2 missis 1 films 1 video 1 dana 1 karma 1,1,
117665,5254958,20200302,видеокаталог 1 запросу 1 agent 1 видеозаписи 1 видео 1 public 1,0,
117682,5047094,20200118,,0,
117849,5082312,20200125,кино 1 запросу 1 double 1 видео 1 moon 1 видеозаписи 1 prison 1 порно 1,0,
117981,5637737,20200607,долбоёба 1 видеозаписи 1 видео 1,1,
118008,5984631,20201007,гости 1 игры 3 твои 1 пасьянс 1 лайки 1 поклонники 1 раскрутка 1 банька 1,1,
118059,5016360,20200111,луга 1 частные 4 некоммерческие 4 интерн 1 народная 4 объявления 4 барахолка 4 товары 1 ряд 1 навсегда 4 ёлочка 1 марии 2 ооо 2 ярмарка 2 ангара 2 сообщества 2,1,
118794,1019545191,20220116,настройки 1 метро 111 добро 89 новости 105 левченко 5 данилы 3 заявка 2 пожаловать 89 рассылки 1 добавление 3 россия 1 данила 2 друзья 3 заявок 1 мессенджер 3 chery 1 сообществах 1,0,
119359,220187351,20210924,,1,d8877075c359034c6cb8b9ce2b1748a3 1 1192d043fa15f11a5f0412c8b978a4c2 1 aee71c8d18d6b91b36bf599208a91777 3 9114ae77e77ebec660859b43116f5a2f 2 3c9735adfff393e630827fb013f5a993 2
119486,4510573,20200204,,0,acf082a2909f9813c289a0b8680324d2 2 ae964ea7904692e8264a2232061121a3 2
119770,4995087,20200108,,0,
120101,87635021,20210627,стене 1 фотографии 1 сообщества 1,0,
120184,6162039,20201126,,0,097d41a5eb1db157bee08e6aa6e2d9cd 1
120772,6209698,20201208,,1,f60eeedb2af8786a39057786921b9544 1
121275,1014123021,20210929,,1,8cf0c68a7b804b4a3859b9f27e28f1c2 3 aee71c8d18d6b91b36bf599208a91777 3 b1743c872549374e00f52d07057e5f51 1 9114ae77e77ebec660859b43116f5a2f 3 c559cff1e7d1df756cb212a22311ea3b 3
122039,89475611,20210813,мероприятия 4,0,
122256,1021007801,20220209,,0,88ba7efdf1892f114177a6b7aef0baa9 1 805974c1c36d82ead60f4ae0f59cfd78 1 aee71c8d18d6b91b36bf599208a91777 1 b4886700b7919fc724f3545d72f777a8 1 7509a127f30f9317b22923f838658855 2
122396,1020066011,20220125,,0,aee71c8d18d6b91b36bf599208a91777 2 1192d043fa15f11a5f0412c8b978a4c2 2 805974c1c36d82ead60f4ae0f59cfd78 2 83802fb86602a0fcc40436c0c50d0824 2 3c9735adfff393e630827fb013f5a993 2 43ce2d9f00b72c7843a281e2e2b869f7 2 c559cff1e7d1df756cb212a22311ea3b 2
123060,6074691,20201103,игры 1 дачники 1,0,
123504,4992735,20200107,одноклассники 1,1,
123609,5298816,20200311,,0,0028c3b68113a97ccf75351d44d647cd 2
124105,5148975,20200206,,0,0028c3b68113a97ccf75351d44d647cd 1 c9f124b819b7a2dbef3f0bcbf0330b9b 1
124446,5253665,20200301,,1,
124811,5476341,20200421,,0,bcfd5035392efc24a547418287593a95 1
125794,4992293,20200107,,0,c9f124b819b7a2dbef3f0bcbf0330b9b 22
126094,5514431,20200430,,1,
126898,5343300,20200322,,1,
126900,1335407,20210427,началом 2 березовая 1 связи 2 рыболовные 2 новости 2 украла 1 кошелек 1 сообщества 2 район 1 периода 2 войска 2 стене 2 фотографии 2 территории 2 димитровград 2 ребят 1 теме 1 собака 1 пенсионерка 1 пропала 1 пенсионерки 1 редактирование 2 видео 2,1,
127069,5543000,20200507,,0,a7ecf880f87b9b15b52aca92a65b58bb 1 b98a0685f1aa5c4018c920cb02464323 1
127494,1286664,20210415,,0,1b2d5730f37e0c776859c002c5be9c47 1
128035,1323517,20210424,,0,71993b99f36697e78a184c24eccf1592 1
128110,5336256,20200321,,0,
128591,1013016191,20210902,,0,aee71c8d18d6b91b36bf599208a91777 3 c5d802e6e9482aeb70cfdb8c43a55f57 1 7509a127f30f9317b22923f838658855 1 43ce2d9f00b72c7843a281e2e2b869f7 2 b1743c872549374e00f52d07057e5f51 1 c559cff1e7d1df756cb212a22311ea3b 2
129096,5278654,20200307,,0,77d574e0758f9f2e9fd3744fda1da1c3 2 c9f124b819b7a2dbef3f0bcbf0330b9b 1
129571,1335063,20210427,,0,0028c3b68113a97ccf75351d44d647cd 2 6c0125cd8a19a9e86e64feef61e64e39 1 5d92f81aa951229dd8319737f410cf0e 1
130651,1313287,20210421,,0,
130721,5050300,20200118,,1,
130785,1439277,20210531,одноклассники 1 социальная 1 друзьями 1 место 1 сеть 1 встречи 1 общение 1,0,
131379,5326603,20200319,,0,
131713,5913997,20200913,,1,
131750,5212766,20200221,,0,
131780,5062325,20200121,,0,0028c3b68113a97ccf75351d44d647cd 16
132178,1018462481,20211227,,1,
132200,5367038,20200327,,1,1889e0cbd3e343e9521a07aa312257ac 10
132633,1225345,20210401,,1,c559cff1e7d1df756cb212a22311ea3b 4
132719,5041475,20200116,,0,3bf047bec4011f219ea165eabfe2c70c 1
132736,5283053,20200308,,0,
133084,6172555,20201129,,0,2d745d5f86d7f88f0082382009b3e3e4 1 c0f36bed1c21bbdebfef369747fe4d96 1 38e332a67691d35da026ea7a83a50e1a 2 25716a8bff07e1c9f576c2b132732726 1
133205,5555563,20200511,,0,
133533,817191501,20220205,поздравления 1 открытки 1,1,
134270,1012200941,20210813,беатрис 1 персонажи 3 рам 1 рем 1 эмилия 1 осло 1 тонар 1,0,
134283,1440467,20210531,мессенджер 1 создатель 1 видео 1,0,
134326,1546388,20210624,,0,938bf1091811d292f3fa46ab379110c6 1
134338,1016577591,20211121,,0,88ba7efdf1892f114177a6b7aef0baa9 2 aee71c8d18d6b91b36bf599208a91777 18 c5d802e6e9482aeb70cfdb8c43a55f57 9 1192d043fa15f11a5f0412c8b978a4c2 9 7509a127f30f9317b22923f838658855 1 83802fb86602a0fcc40436c0c50d0824 10 ebd5df7373200048eff1e7bf409edd15 1 3c9735adfff393e630827fb013f5a993 10 43ce2d9f00b72c7843a281e2e2b869f7 18 b1743c872549374e00f52d07057e5f51 17 c559cff1e7d1df756cb212a22311ea3b 18
134388,6197024,20201205,одноклассники 8,0,
134435,222040551,20211106,,0,0e74b23e67d39e669e5204d38367d4c8 4
134656,1848728,20210909,,1,c559cff1e7d1df756cb212a22311ea3b 1 43ce2d9f00b72c7843a281e2e2b869f7 1 aee71c8d18d6b91b36bf599208a91777 2 c5d802e6e9482aeb70cfdb8c43a55f57 1
134750,5066603,20200121,apple 1 сообщества 1 степанова 1 universe 1 александра 1 видеозаписи 1 александр 1 кузьменков 1 стена 1,0,
135086,1018674061,20211230,расписание 1 программы 1 меню 1 курсов 1 занятий 1 открыть 1,0,
135087,816922941,20220201,чата 3,0,
135833,1525777,20210619,,0,d8877075c359034c6cb8b9ce2b1748a3 3 aee71c8d18d6b91b36bf599208a91777 21 1192d043fa15f11a5f0412c8b978a4c2 3 83802fb86602a0fcc40436c0c50d0824 1 9114ae77e77ebec660859b43116f5a2f 3 3c9735adfff393e630827fb013f5a993 3 43ce2d9f00b72c7843a281e2e2b869f7 2 637da0a1583115c0e00365859f999144 2 c559cff1e7d1df756cb212a22311ea3b 3
135858,6206240,20201207,игры 1 добро 1 ёлочка 1 рима 1 пожаловать 1 романтика 1 новости 1,0,
136179,4997920,20200108,,0,
136247,813524932,20211122,,1,938bf1091811d292f3fa46ab379110c6 1
136512,1164294,20210319,,0,aee71c8d18d6b91b36bf599208a91777 1
136565,5948630,20200925,окопе 2 вячеслав 1 берлин 1,1,
136955,5456564,20200416,,0,a7ecf880f87b9b15b52aca92a65b58bb 1 b98a0685f1aa5c4018c920cb02464323 1
137323,223422722,20211203,сбора 3 заявок 3 форма 3,1,
137409,5415131,20200406,,1,4f661e3c2af0d88d365839772e733608 1 0174ec4c63819e8280e049c91e36d33b 1
137608,816771461,20220129,granta 1 новости 2 seat 1 пробку 1 интим 1 sport 1 stage 1 audi 1 творит 1 сообщества 1 куни 1 пошлый 1 хотят 1 одинокие 1 курск 1 racing 1 oskol 1 белгород 1 сочные 1 фотографии 1 club 1 старый 1 знакомства 1 стене 1 bmw 1 мамки 1 либидо 1 встречи 1 женщины 1 мамками 1 услуги 1 оскол 1 обожаю 1 воронеж 1 зрелые 1 родиона 1 видео 1 зрелыми 1,1,
137709,1548832,20210625,одноклассники 2,0,
137973,5367040,20200327,,1,1889e0cbd3e343e9521a07aa312257ac 1
138020,5350340,20200324,,0,
138217,1754652,20210813,одноклассники 1 твоей 1 социальная 1 играйте 1 бесплатно 1 друзьями 1 аватария 1 мир 1 место 1 сеть 1 игра 1 встречи 1 общение 1 мечты 1,0,
138349,1786071,20210821,,0,d8877075c359034c6cb8b9ce2b1748a3 11 aee71c8d18d6b91b36bf599208a91777 14 c5d802e6e9482aeb70cfdb8c43a55f57 2 1192d043fa15f11a5f0412c8b978a4c2 12 83802fb86602a0fcc40436c0c50d0824 2 9114ae77e77ebec660859b43116f5a2f 12 3c9735adfff393e630827fb013f5a993 10 43ce2d9f00b72c7843a281e2e2b869f7 10 c559cff1e7d1df756cb212a22311ea3b 10
138463,5406453,20200404,,1,
138892,5467996,20200419,,0,0028c3b68113a97ccf75351d44d647cd 1 d1e47644f554fd9b1623090b201380b6 1
138901,5786596,20200801,,0,d9eae9f2120799a038bd80243d343c00 2
138952,218827951,20210823,,0,34396b6d28d98db7750c8e19b0f2a1e2 3
139092,6022145,20201019,сальниковой 1 класса 1 ошибка 1 сообщества 1 юлии 1,0,
139298,1624882,20210801,,1,d8877075c359034c6cb8b9ce2b1748a3 1 aee71c8d18d6b91b36bf599208a91777 4 1192d043fa15f11a5f0412c8b978a4c2 1 9114ae77e77ebec660859b43116f5a2f 1 3c9735adfff393e630827fb013f5a993 1 c559cff1e7d1df756cb212a22311ea3b 2
139930,5995501,20201010,,0,b37222e861378caab878efbb16333580 1
140927,5060186,20200120,игры 1 тайны 1 следствия 1,0,
141601,5685303,20200625,,0,5d707a20067821ee07e3097404b9f117 6
142108,5939868,20200922,добро 1 zone 2 videos 2 засветы 1 пикантные 1 voyeur 2 пожаловать 1 юбкой 1 видеозаписи 1 зона 2 подглядывания 2 hidden 2 смотрим 1 показывают 1,0,
142712,5923580,20200916,,1,c9f124b819b7a2dbef3f0bcbf0330b9b 2
142969,109939531,20210623,танк 1 монстров 1,1,
143541,5990133,20201008,,0,1b2d5730f37e0c776859c002c5be9c47 1 0174ec4c63819e8280e049c91e36d33b 1
143567,5792206,20200803,катюшка 1 сообщества 1,1,
143886,1281919,20210414,шаурма 1 шашлык 1 меню 1 группы 1 копейск 1 доставка 1,1,
144182,1345908,20210503,,1,1b2d5730f37e0c776859c002c5be9c47 2
144413,1849709,20210910,,0,
145253,225830011,20220117,,0,88ba7efdf1892f114177a6b7aef0baa9 4 aee71c8d18d6b91b36bf599208a91777 8 c5d802e6e9482aeb70cfdb8c43a55f57 4 8cf0c68a7b804b4a3859b9f27e28f1c2 4 43ce2d9f00b72c7843a281e2e2b869f7 8 c559cff1e7d1df756cb212a22311ea3b 8
145489,1365369,20210514,sexwife 1 мжм 1 гуляю 1 сообщества 2 реальные 1 иванов 1 громов 1 знакомства 1 gang 1 алёна 1 валерьевича 2 фёдорова 1 bang 1 алексей 1 светлана 1 сергей 1 муж 1 иванова 1 евгения 2 сексвайф 1,0,
145585,5817662,20200811,,0,5d707a20067821ee07e3097404b9f117 1
145684,5442157,20200412,,0,
145874,221694901,20211029,,1,c559cff1e7d1df756cb212a22311ea3b 2 aee71c8d18d6b91b36bf599208a91777 3 c5d802e6e9482aeb70cfdb8c43a55f57 1
145908,4985489,20200106,эрудитов 4 игры 3 битва 4,0,
146151,1747410,20210811,одноклассники 1 твоей 1 социальная 1 играйте 1 бесплатно 1 друзьями 1 аватария 1 мир 1 место 1 сеть 1 игра 1 встречи 1 общение 1 мечты 1,0,
146520,1020455661,20220201,,1,
146898,5401572,20200404,субтитры 2 дорамы 2 настройках 2 dream 1 видеозаписи 5,1,
147189,4979482,20200105,,1,0028c3b68113a97ccf75351d44d647cd 1
148587,88212411,20210711,зрелой 1 alexa 1 mature 1 mother 1 vega 1 видеозаписи 2 milf 1 трусики 1 латинки 1 трах 1 домашний 1 mom 1 видео 2 буферами 1 большими 1 panties 1 мамины 1 зрелки 2 запросу 1,0,
149329,5168672,20200211,veronica 1 видео 1 видеозаписи 1 запросу 1,0,
149362,1802468,20210825,оставшиеся 2 автобусные 2 туры 2 места 2 выходные 2 челябинска 2,1,
149691,4966080,20200102,качество 1 сообщения 1 безумие 2 андрей 1,1,
149751,5254630,20200302,,1,0028c3b68113a97ccf75351d44d647cd 10
149814,1727833,20210806,одноклассники 1 твоей 1 социальная 1 играйте 1 бесплатно 1 друзьями 1 аватария 1 мир 1 место 1 сеть 1 игра 1 встречи 1 общение 1 мечты 1,0,
149884,1768319,20210817,охотники 1 ёлочка 3 гавайи 3 новости 3 монетами 1 солнечные 3,1,
150889,221140481,20211017,,0,8cf0c68a7b804b4a3859b9f27e28f1c2 15 43ce2d9f00b72c7843a281e2e2b869f7 2 aee71c8d18d6b91b36bf599208a91777 19 217568280af6792482af03d05611c4e9 2 c5d802e6e9482aeb70cfdb8c43a55f57 16
151105,5255254,20200302,,1,f8e9e2c1c7df7ebb7eea72cff3cf9efc 17 ae964ea7904692e8264a2232061121a3 17
151128,217691341,20210726,,0,db49e91499217a0935815bdf2251bc10 3
151931,5284338,20200308,,1,
152528,1595077,20210704,,0,e4be6d7ca0f28fffb8d36cbd275f2b42 1
152967,1688148,20210727,игры 2 ёлочка 2 рима 1 легенды 1 гавайи 2 романтика 1 солнечные 2,0,
152980,6096527,20201108,,1,f60eeedb2af8786a39057786921b9544 1
152982,1591258,20210703,beautiful 1 секс 1 booty 1 dance 1 paola 1 sex 1 молодые 1 студентов 2 офисе 1 girl 1 пары 1 mara 1 общаге 1 куни 1 общежитие 1 видеозаписи 2 анал 1 ass 1 тверк 1 сливы 1 couple 1 daisy 1 эротика 1 collection 1 минет 1 рыжую 1 записи 1 приватов 1 чате 1 webcam 1 stone 1 запросу 2 сучки 1 выпускной 1 вебкамеры 1 видео 2 вечеринка 1 работе 1,0,
153110,5210072,20200221,,0,
153455,5519714,20200502,,1,
153721,5016341,20200111,стена 4,1,
154438,815397281,20220102,,0,aee71c8d18d6b91b36bf599208a91777 2 1192d043fa15f11a5f0412c8b978a4c2 2 805974c1c36d82ead60f4ae0f59cfd78 2 83802fb86602a0fcc40436c0c50d0824 2 3c9735adfff393e630827fb013f5a993 2 43ce2d9f00b72c7843a281e2e2b869f7 2 c559cff1e7d1df756cb212a22311ea3b 2
154447,5107345,20200129,,0,0028c3b68113a97ccf75351d44d647cd 2
